Algorithm,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_linear,0.0015,0.0022,0.0027,1.0004,0.8739,0.8739
moead_cheby,0.0018,0.0023,0.0028,1.0338,0.8738,0.8738
moead_mod_linear,0.0004,0.0022,0.0022,0.8738,0.8738,0.8738
moead_mod_cheby,0.0009,0.0025,0.0026,0.9225,0.8735,0.8735
nsga2,0.0006,0.0023,0.0023,0.8738,0.8738,0.8738
