Algorithm,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_linear,0.0034,0.1908,0.1908,1.4654,1.3304,0.7812
moead_cheby,0.0035,0.1907,0.1907,1.5142,1.3304,0.7812
moead_mod_linear,0.0022,0.1917,0.1917,1.3302,1.3302,0.7810
moead_mod_cheby,0.0024,0.1907,0.1907,1.3433,1.3303,0.7811
nsga2,0.0023,0.1907,0.1907,1.3303,1.3303,0.7812
